art;tsc;type;pageid;length
Index case;06/02/2003;Concept;6064646;24347
Boris Johnson;24/07/2002;People;19065069;250230
Laura Lechuga;01/04/2020;People;63540891;13365
Life Care Centers of America;13/09/2015;Place/institution;47807279;19345
COVID-19 Case-Cluster-Study;15/04/2020;Virus/disease/source;63664624;4651
John T. Houghton;15/10/2004;People;1070206;16087
Patient Under Investigation;27/03/2020;Concept;63488591;3926
Patrick Vallance;29/07/2017;People;54683171;22862
Shi Zhengli;06/02/2019;People;59871200;19169
Terrence McNally;18/07/2003;People;271876;77305
Michael Sorkin;10/08/2006;People;6366541;36059
Daniel R. Lucey;22/07/2019;People;61337827;39375
Syra Madad;09/03/2020;People;63322662;22639
Allison McGeer;06/04/2020;People;63586094;18638
Robert R. Redfield;15/09/2008;People;19323387;26980
SARS conspiracy theory;07/09/2004;Concept;965308;12934
Sunda pangolin;23/08/2005;Virus/disease/source;2517561;11643
Zhang Wenhong;18/03/2020;People;63406867;7441
White House Coronavirus Task Force;15/03/2020;Place/institution;63382568;17167
Chris Whitty;07/06/2019;People;60983932;15299
Pneumonia of unknown etiology (PUE) surveillance system;17/04/2020;Virus/disease/source;63684924;3698
Anne Rimoin;28/10/2014;People;44239614;9008
SHC014-CoV;14/03/2020;Virus/disease/source;63372295;2615
Tetrandrine;18/12/2008;Molecule/drug;20759721;4819
Maria Van Kerkhove;20/03/2020;People;63426110;13114
Catch It, Bin It, Kill It;03/03/2020;Concept;63256719;29215
Charles, Prince of Wales;27/06/2003;People;125248;162380
